period,cpi_food,cpi_energy,cpi,cpi_gasoline,cpi_less
7/1/82,4.3,2,6,-3.4,6.9
8/1/82,3.6,2,5.5,-3.5,6.4
9/1/82,3.4,1.7,4.6,-4.5,5.4
10/1/82,3.2,2.5,4.7,-5.1,5.4
11/1/82,3.1,2,4.2,-5.7,4.8
12/1/82,2.9,1.3,3.6,-7.2,4.2
1/1/83,2.5,-1,3.5,-9,4.3
2/1/83,1.9,-0.3,3.3,-10.5,4.2
3/1/83,2.6,0.2,3.4,-9.3,4.3
4/1/83,2.8,4.7,3.8,0.2,3.9
5/1/83,2.3,4.7,3.3,2.8,3.5
6/1/83,1.5,2.2,2.4,-1.6,3.1
7/1/83,1.4,1.6,2.3,-2.9,3.1
8/1/83,1.7,1.4,2.4,-2.3,3
9/1/83,1.8,0.7,2.7,-1.9,3.3
10/1/83,2.1,-0.9,2.7,-2.2,3.5
11/1/83,2.1,-2,3.1,-2.6,4.2
12/1/83,2.4,-2.8,3.7,-1.6,4.6
1/1/84,3.9,0.6,4.2,-0.4,4.9
2/1/84,4.5,3.7,4.6,2.5,4.8
3/1/84,4.1,4.6,4.8,5.3,5
4/1/84,3.7,2.8,4.5,1.7,5.1
5/1/84,3.2,1.2,4.3,-1.1,5.2
6/1/84,3.5,0.2,4.3,-3,5.3
7/1/84,3.7,-0.4,4.3,-5.1,5.2
8/1/84,4.2,-1.1,4.3,-6.3,5.3
9/1/84,3.8,-0.4,4.3,-5.1,5.3
10/1/84,3.7,0.3,4.3,-3.2,5.2
11/1/84,3.8,0.3,4.2,-2.4,4.9
12/1/84,3.9,0.1,4.1,-2.5,5
1/1/85,2.7,0.1,3.6,-3.6,4.6
2/1/85,2.5,-1.1,3.7,-4.5,4.9
3/1/85,2.6,-0.1,3.9,-2.3,4.9
4/1/85,2.5,0.6,3.7,-0.1,4.7
5/1/85,2.5,0.6,3.7,1.2,4.7
6/1/85,2.4,1.4,3.8,2.6,4.6
7/1/85,2.2,1.7,3.6,4.1,4.4
8/1/85,1.7,1.1,3.5,4.2,4.4
9/1/85,2,0.6,3.4,2.6,4.2
10/1/85,1.8,0.1,3.4,1,4.3
11/1/85,2.4,1,3.7,1.8,4.7
12/1/85,2.8,2.3,4,2.9,4.6
1/1/86,2.8,2.3,4.2,4.2,4.8
2/1/86,2.1,-0.8,3.4,-0.2,4.5
3/1/86,2,-8.7,2.3,-13.8,4.4
4/1/86,2.3,-15.1,1.7,-25.1,4.5
5/1/86,3,-15,1.8,-24.4,4.3
6/1/86,2.8,-13.4,1.9,-22.6,4.3
7/1/86,3.6,-16.6,1.8,-27.9,4.4
8/1/86,4.5,-17.6,1.7,-30.7,4.4
9/1/86,4.4,-16.8,1.9,-28.2,4.6
10/1/86,4.7,-18.4,1.7,-29.4,4.5
11/1/86,4.6,-19.7,1.4,-30.6,4.2
12/1/86,4.1,-19.9,1.3,-30.5,4.2
1/1/87,4.3,-17.2,1.5,-25.7,4
2/1/87,4.9,-12.1,2.1,-16.8,4
3/1/87,4.9,-5,3.1,-4.9,4.1
4/1/87,4.9,0.4,4,4.8,4.4
5/1/87,5,-0.1,4,2.7,4.6
6/1/87,5.6,-0.3,4.1,1.7,4.5
7/1/87,4.6,3.6,4.3,8.2,4.5
8/1/87,3.8,6.9,4.7,14.2,4.5
9/1/87,4.1,5.9,4.7,12.5,4.6
10/1/87,4,6.8,4.8,13.7,4.8
11/1/87,3.4,7.9,5,14.4,4.8
12/1/87,3.7,7,4.8,12.8,4.8
1/1/88,3.8,3.4,4.6,6.8,5
2/1/88,3.4,1.3,4.4,2.2,5
3/1/88,3.4,0.8,4.3,0.9,5.1
4/1/88,3.8,1.2,4.5,0.8,5
5/1/88,3.7,1.4,4.5,2.3,5
6/1/88,3.7,0.4,4.5,0.6,5.3
7/1/88,5.1,0.2,4.7,0.2,5.3
8/1/88,5.5,-0.4,4.7,-0.1,5.3
9/1/88,5.8,-0.5,4.8,-0.9,5.5
10/1/88,5.8,0.2,4.9,-1.5,5.4
11/1/88,6,-0.2,4.9,-1.7,5.5
12/1/88,6,0.1,5.1,-1.5,5.6
1/1/89,6,1.5,5.2,-0.1,5.6
2/1/89,6.9,2.1,5.4,2,5.7
3/1/89,7.4,3.4,5.7,4,5.7
4/1/89,7.5,7.8,5.9,12.9,5.5
