period,pot,gdp
1/1/15,17588.44031,17280.647
4/1/15,17669.62078,17380.875
7/1/15,17750.04023,17437.08
10/1/15,17829.02,17462.579
1/1/16,17906.86,17565.465
4/1/16,17983.72,17618.581
7/1/16,18059.31,17724.489
10/1/16,18134.2,17812.56
1/1/17,18209.51,17896.623
4/1/17,18284.5,17996.802
7/1/17,18362.05,18126.226
10/1/17,18441.6,18296.685
1/1/18,18523.9,18436.262
4/1/18,18609.58,18590.004
7/1/18,18698.14,18679.599
10/1/18,18787.94,18721.281
1/1/19,18878.97,18833.195
4/1/19,18971.35,18982.528
7/1/19,19064.06,19112.653
10/1/19,19157.14,19202.31
1/1/20,19250.22,18951.992
4/1/20,19340.19,17258.205
7/1/20,19424.19,18560.774
10/1/20,19512.02,18767.778
1/1/21,19602.54,19055.655
4/1/21,19697.36,19368.31
7/1/21,19795.82,19478.893
10/1/21,19898.25,19805.962
1/1/22,20003.73,.
4/1/22,20109.88,.
7/1/22,20216.09,.
10/1/22,20321.48,.
